time_stamp,pm2.5_atm_a,pm2.5_atm_b
2024-09-25T00:01:32Z,17.09,3.83
2024-09-25T00:03:26Z,15.18,4.29
2024-09-25T00:05:25Z,16.36,4.02
2024-09-25T00:07:25Z,15.14,4.09
2024-09-25T00:09:25Z,15.67,4.28
2024-09-25T00:11:25Z,16.91,4.48
2024-09-25T00:13:25Z,16.73,5.31
2024-09-25T00:15:25Z,16.26,5.32
2024-09-25T00:17:25Z,16.71,4.6
2024-09-25T00:19:26Z,16.63,4.07
2024-09-25T00:21:25Z,15.78,3.32
2024-09-25T00:23:26Z,16.36,4.24
2024-09-25T00:25:26Z,15.23,3.66
2024-09-25T00:27:26Z,15.05,3.51
2024-09-25T00:29:26Z,14.86,4.07
2024-09-25T00:31:26Z,15.4,4.14
2024-09-25T00:33:26Z,16.24,4.26
2024-09-25T00:35:26Z,16.12,4.55
2024-09-25T00:37:26Z,15.19,4.79
2024-09-25T00:39:26Z,15.46,4.31
2024-09-25T00:41:26Z,16.12,4.35
2024-09-25T00:43:26Z,13.8,4.16
2024-09-25T00:45:26Z,14.14,4.02
2024-09-25T00:47:26Z,15.93,4.22
2024-09-25T00:49:26Z,15.87,4.29
2024-09-25T00:51:26Z,15.98,4.8
2024-09-25T00:53:26Z,14.95,3.86
2024-09-25T00:55:26Z,15.42,4.05
2024-09-25T00:57:26Z,15.64,4.05
2024-09-25T00:59:26Z,16.09,4.82
2024-09-25T01:01:26Z,15.3,4.46
2024-09-25T01:03:26Z,15.05,4.32
2024-09-25T01:05:26Z,15.41,4.26
2024-09-25T01:07:26Z,15.09,4.84
2024-09-25T01:09:26Z,15.21,4.25
2024-09-25T01:11:26Z,14.69,3.91
2024-09-25T01:13:26Z,14.81,4.23
2024-09-25T01:15:26Z,14.23,3.91
2024-09-25T01:17:26Z,14.31,4.3
2024-09-25T01:19:26Z,14.2,4.29
2024-09-25T01:21:26Z,15.04,4.75
2024-09-25T01:23:26Z,14.52,3.81
2024-09-25T01:25:26Z,14.65,3.93
2024-09-25T01:27:26Z,14.93,4.14
2024-09-25T01:29:26Z,14.63,3.98
2024-09-25T01:31:26Z,13.54,3.96
2024-09-25T01:33:26Z,15.1,3.62
2024-09-25T01:35:26Z,15.23,4.12
2024-09-25T01:37:26Z,16.81,4.47
2024-09-25T01:39:27Z,15.63,4.09
2024-09-25T01:41:26Z,14.96,3.73
2024-09-25T01:43:26Z,13.93,3.91
2024-09-25T01:45:26Z,14.39,3.97
2024-09-25T01:47:26Z,14.16,4.53
2024-09-25T01:49:26Z,14.64,4.22
2024-09-25T01:51:26Z,15.05,4.2
2024-09-25T01:53:26Z,14.75,3.6
2024-09-25T01:55:26Z,14.47,3.88
2024-09-25T01:57:26Z,14.62,4.32
2024-09-25T01:59:26Z,14.7,4.21
2024-09-25T02:01:26Z,15.7,4
2024-09-25T02:03:26Z,14.19,4.14
2024-09-25T02:05:26Z,15.58,4.24
2024-09-25T02:07:26Z,14.12,4.47
2024-09-25T02:09:27Z,14.35,3.54
2024-09-25T02:11:27Z,15.18,4.49
2024-09-25T02:13:26Z,15.73,3.83
2024-09-25T02:15:26Z,15.68,3.96
2024-09-25T02:17:27Z,15.98,4.69
2024-09-25T02:19:27Z,16.21,4.14
2024-09-25T02:21:27Z,16.25,4.03
2024-09-25T02:23:27Z,16.61,4.11
2024-09-25T02:25:27Z,16.17,4.47
2024-09-25T02:27:27Z,15.47,4.5
2024-09-25T02:29:27Z,15.8,4.19
2024-09-25T02:31:27Z,14.87,4.19
2024-09-25T02:33:27Z,15.61,4.18
2024-09-25T02:35:27Z,16.05,4.16
2024-09-25T02:37:27Z,16.3,3.82
2024-09-25T02:39:27Z,16.44,4.29
2024-09-25T02:41:26Z,14.75,4.62
2024-09-25T02:43:27Z,14.97,4.44
2024-09-25T02:45:27Z,16.15,3.89
2024-09-25T02:47:27Z,15.68,4.14
2024-09-25T02:49:27Z,15.68,4.03
2024-09-25T02:51:27Z,15.82,4.61
2024-09-25T02:53:27Z,15.49,3.91
2024-09-25T02:55:27Z,15.47,3.54
2024-09-25T02:57:27Z,15.74,4.47
2024-09-25T02:59:27Z,15.69,4.18
2024-09-25T03:01:27Z,15.75,4.27
2024-09-25T03:03:27Z,15.66,4.81
2024-09-25T03:05:27Z,15.55,3.73
2024-09-25T03:07:27Z,15.57,4.05
2024-09-25T03:09:27Z,15.83,3.6
2024-09-25T03:11:27Z,15.76,4.28
2024-09-25T03:13:27Z,15.44,3.98
2024-09-25T03:15:27Z,15.86,4.19
2024-09-25T03:17:27Z,16.11,4.09
2024-09-25T03:19:27Z,15.02,3.91
2024-09-25T03:21:27Z,14.86,3.87
2024-09-25T03:23:27Z,16.39,3.71
2024-09-25T03:25:27Z,15.7,4.45
2024-09-25T03:27:27Z,15.29,4.29
2024-09-25T03:29:28Z,15.74,4.7
2024-09-25T03:31:27Z,16.73,5.07
2024-09-25T03:33:27Z,15.76,4.33
2024-09-25T03:35:27Z,16.93,4.4
2024-09-25T03:37:27Z,15.09,3.75
2024-09-25T03:39:27Z,15.83,3.96
2024-09-25T03:41:27Z,15.22,4.46
2024-09-25T03:43:27Z,15.84,3.97
2024-09-25T03:45:27Z,15.27,4
2024-09-25T03:47:27Z,15.07,3.46
2024-09-25T03:49:27Z,15.53,3.52
2024-09-25T03:51:27Z,14.91,3.76
2024-09-25T03:53:27Z,15.2,4.33
2024-09-25T03:55:27Z,15,3.16
2024-09-25T03:57:27Z,15.66,4.45
2024-09-25T03:59:27Z,15.73,4.02
2024-09-25T04:01:28Z,16,4.14
2024-09-25T04:03:27Z,15.25,3.25
2024-09-25T04:05:27Z,15.5,3.88
2024-09-25T04:07:27Z,14.81,4.16
2024-09-25T04:09:27Z,15.91,3.6
2024-09-25T04:11:27Z,14.38,3.19
2024-09-25T04:13:28Z,16.15,4.23
2024-09-25T04:15:27Z,16.05,3.19
2024-09-25T04:17:27Z,15.72,3.83
2024-09-25T04:19:27Z,15.88,3.39
2024-09-25T04:21:27Z,15.11,3.93
2024-09-25T04:23:27Z,14.98,3.75
2024-09-25T04:25:27Z,15.12,3.87
2024-09-25T04:27:28Z,14.98,4.09
2024-09-25T04:29:27Z,15.02,4.05
2024-09-25T04:31:27Z,14.62,3.39
2024-09-25T04:33:28Z,15.53,3.89
2024-09-25T04:35:27Z,15.61,3.62
2024-09-25T04:37:27Z,14.95,4.12
2024-09-25T04:39:27Z,14.86,3.42
2024-09-25T04:41:28Z,15.77,3.72
2024-09-25T04:43:27Z,14.92,3.65
2024-09-25T04:45:28Z,15.67,3.84
2024-09-25T04:47:28Z,14.91,3.92
2024-09-25T04:49:28Z,15.65,3.53
2024-09-25T04:51:28Z,14.42,3.51
2024-09-25T04:53:27Z,15.05,3.74
2024-09-25T04:55:28Z,15.82,4.33
2024-09-25T04:57:28Z,14.54,3.32
2024-09-25T04:59:27Z,14.53,4.11
2024-09-25T05:01:28Z,15.24,4.11
2024-09-25T05:03:28Z,15.53,3.85
2024-09-25T05:05:28Z,14.94,3.56
2024-09-25T05:07:28Z,15.77,4.25
2024-09-25T05:09:28Z,15.93,3.91
